#                                                                                
# Lorentzian broadening with gamma= 0.050000  [eV]
# Im(epsilon) shifted by   1.0000   [eV]
# No intraband contributions added
#
# Energy [eV]  ref_ind_xx    extinct_xx
#
   6.462710  0.245804E+01  0.369058E+00
   6.489920  0.246253E+01  0.371839E+00
   6.517130  0.246714E+01  0.374698E+00
   6.544340  0.247187E+01  0.377651E+00
   6.571550  0.247670E+01  0.380702E+00
   6.598760  0.248164E+01  0.383830E+00
   6.625970  0.248669E+01  0.387031E+00
   6.653190  0.249187E+01  0.390319E+00
   6.680400  0.249717E+01  0.393698E+00
   6.707610  0.250261E+01  0.397165E+00
   6.734820  0.250818E+01  0.400720E+00
   6.762030  0.251390E+01  0.404360E+00
   6.789240  0.251978E+01  0.408073E+00
   6.816450  0.252587E+01  0.411859E+00
   6.843670  0.253223E+01  0.415768E+00
   6.870880  0.253886E+01  0.419870E+00
   6.898090  0.254573E+01  0.424237E+00
   6.925300  0.255276E+01  0.428907E+00
   6.952510  0.255989E+01  0.433839E+00
   6.979720  0.256711E+01  0.438960E+00
   7.006930  0.257446E+01  0.444228E+00
   7.034150  0.258201E+01  0.449638E+00
   7.061360  0.258981E+01  0.455205E+00
   7.088570  0.259792E+01  0.460970E+00
   7.115780  0.260641E+01  0.467003E+00
   7.142990  0.261530E+01  0.473408E+00
   7.170200  0.262457E+01  0.480313E+00
   7.197410  0.263411E+01  0.487814E+00
   7.224630  0.264382E+01  0.495905E+00
   7.251840  0.265366E+01  0.504491E+00
   7.279050  0.266371E+01  0.513523E+00
   7.306260  0.267412E+01  0.523062E+00
   7.333470  0.268499E+01  0.533278E+00
   7.360680  0.269635E+01  0.544440E+00
   7.387890  0.270803E+01  0.556795E+00
   7.415110  0.271986E+01  0.570460E+00
   7.442320  0.273176E+01  0.585488E+00
   7.469530  0.274380E+01  0.602128E+00
   7.496740  0.275587E+01  0.621026E+00
   7.523950  0.276731E+01  0.643000E+00
   7.551160  0.277668E+01  0.668749E+00
   7.578370  0.278145E+01  0.698080E+00
   7.605580  0.277907E+01  0.728428E+00
   7.632800  0.276930E+01  0.755548E+00
   7.660010  0.275491E+01  0.775698E+00
   7.687220  0.274060E+01  0.787885E+00
   7.714430  0.272981E+01  0.794448E+00
   7.741640  0.272367E+01  0.797844E+00
   7.768850  0.272227E+01  0.800599E+00
   7.796060  0.272431E+01  0.804055E+00
   7.823280  0.272917E+01  0.808245E+00
   7.850490  0.273714E+01  0.813347E+00
   7.877700  0.274892E+01  0.820434E+00
   7.904910  0.276435E+01  0.831963E+00
   7.932120  0.278060E+01  0.850185E+00
   7.959330  0.279403E+01  0.874051E+00
   7.986540  0.280351E+01  0.901134E+00
   8.013760  0.280878E+01  0.929858E+00
   8.040970  0.281026E+01  0.958111E+00
   8.068180  0.281004E+01  0.985051E+00
   8.095390  0.280939E+01  0.101178E+01
   8.122600  0.280822E+01  0.103923E+01
   8.149810  0.280649E+01  0.106807E+01
   8.177020  0.280357E+01  0.109964E+01
   8.204240  0.279711E+01  0.113486E+01
   8.231450  0.278351E+01  0.117229E+01
   8.258660  0.276121E+01  0.120670E+01
   8.285870  0.273425E+01  0.123360E+01
   8.313080  0.270725E+01  0.125391E+01
   8.340290  0.268164E+01  0.126965E+01
   8.367500  0.265816E+01  0.128207E+01
   8.394720  0.263721E+01  0.129274E+01
   8.421930  0.261806E+01  0.130310E+01
   8.449140  0.259946E+01  0.131334E+01
   8.476350  0.258094E+01  0.132283E+01
   8.503560  0.256280E+01  0.133104E+01
   8.530770  0.254575E+01  0.133798E+01
   8.557980  0.253027E+01  0.134443E+01
   8.585200  0.251594E+01  0.135127E+01
   8.612410  0.250194E+01  0.135862E+01
   8.639620  0.248790E+01  0.136602E+01
   8.666830  0.247393E+01  0.137313E+01
   8.694040  0.246030E+01  0.137989E+01
   8.721250  0.244724E+01  0.138649E+01
   8.748460  0.243471E+01  0.139334E+01
   8.775670  0.242237E+01  0.140060E+01
   8.802890  0.240993E+01  0.140821E+01
   8.830100  0.239725E+01  0.141595E+01
   8.857310  0.238437E+01  0.142367E+01
   8.884520  0.237140E+01  0.143134E+01
   8.911730  0.235835E+01  0.143906E+01
   8.938940  0.234513E+01  0.144681E+01
   8.966150  0.233178E+01  0.145452E+01
   8.993370  0.231841E+01  0.146235E+01
   9.020580  0.230486E+01  0.147053E+01
   9.047790  0.229078E+01  0.147903E+01
   9.075000  0.227600E+01  0.148766E+01
   9.102210  0.226044E+01  0.149626E+01
   9.129420  0.224408E+01  0.150459E+01
   9.156630  0.222702E+01  0.151244E+01
   9.183850  0.220949E+01  0.151982E+01
   9.211060  0.219151E+01  0.152689E+01
   9.238270  0.217289E+01  0.153367E+01
   9.265480  0.215350E+01  0.154000E+01
   9.292690  0.213336E+01  0.154563E+01
   9.319900  0.211269E+01  0.155046E+01
   9.347110  0.209153E+01  0.155466E+01
   9.374330  0.206961E+01  0.155816E+01
   9.401540  0.204692E+01  0.156055E+01
   9.428750  0.202383E+01  0.156149E+01
   9.455960  0.200090E+01  0.156114E+01
   9.483170  0.197818E+01  0.156009E+01
   9.510380  0.195515E+01  0.155842E+01
   9.537590  0.193171E+01  0.155567E+01
   9.564810  0.190838E+01  0.155162E+01
   9.592020  0.188564E+01  0.154692E+01
   9.619230  0.186283E+01  0.154252E+01
   9.646440  0.183844E+01  0.153813E+01
   9.673650  0.181197E+01  0.153211E+01
   9.700860  0.178449E+01  0.152334E+01
   9.728070  0.175694E+01  0.151197E+01
   9.755290  0.172969E+01  0.149822E+01
   9.782500  0.170317E+01  0.148247E+01
   9.809710  0.167713E+01  0.146564E+01
   9.836920  0.164985E+01  0.144796E+01
   9.864130  0.161955E+01  0.142720E+01
   9.891340  0.158725E+01  0.139930E+01
   9.918550  0.155780E+01  0.136230E+01
   9.945760  0.153560E+01  0.131882E+01
   9.972980  0.152169E+01  0.127274E+01
  10.000190  0.151508E+01  0.122690E+01
  10.027400  0.151403E+01  0.118268E+01
  10.054610  0.151709E+01  0.114024E+01
  10.081820  0.152349E+01  0.109924E+01
  10.109030  0.153299E+01  0.105940E+01
  10.136240  0.154556E+01  0.102065E+01
  10.163460  0.156123E+01  0.983032E+00
  10.190670  0.157995E+01  0.946717E+00
  10.217880  0.160163E+01  0.911810E+00
  10.245090  0.162617E+01  0.878335E+00
  10.272300  0.165352E+01  0.846079E+00
  10.299510  0.168429E+01  0.814474E+00
  10.326720  0.172044E+01  0.783860E+00
  10.353940  0.176357E+01  0.756965E+00
  10.381150  0.181287E+01  0.738035E+00
  10.408360  0.186317E+01  0.731088E+00
  10.435570  0.190531E+01  0.732449E+00
  10.462780  0.194093E+01  0.730785E+00
  10.489990  0.197911E+01  0.726374E+00
  10.517200  0.202068E+01  0.724016E+00
  10.544420  0.206433E+01  0.724715E+00
  10.571630  0.211031E+01  0.729337E+00
  10.598840  0.215636E+01  0.739816E+00
  10.626050  0.220041E+01  0.753222E+00
  10.653260  0.224457E+01  0.768688E+00
  10.680470  0.228844E+01  0.786590E+00
  10.707680  0.233320E+01  0.804750E+00
  10.734900  0.238295E+01  0.823965E+00
  10.762110  0.244028E+01  0.847647E+00
  10.789320  0.250756E+01  0.880940E+00
  10.816530  0.258514E+01  0.934343E+00
  10.843740  0.266078E+01  0.102283E+01
  10.870950  0.270575E+01  0.114419E+01
  10.898160  0.270726E+01  0.127047E+01
  10.925380  0.267601E+01  0.138134E+01
  10.952590  0.262759E+01  0.146908E+01
  10.979800  0.257367E+01  0.153802E+01
  11.007010  0.251738E+01  0.159157E+01
  11.034220  0.246290E+01  0.163160E+01
  11.061430  0.241305E+01  0.166255E+01
  11.088640  0.236722E+01  0.168824E+01
  11.115850  0.232457E+01  0.171022E+01
  11.143070  0.228424E+01  0.173082E+01
  11.170280  0.224263E+01  0.175056E+01
  11.197490  0.219835E+01  0.176594E+01
  11.224700  0.215355E+01  0.177524E+01
  11.251910  0.210923E+01  0.177821E+01
  11.279120  0.206698E+01  0.177350E+01
  11.306330  0.203034E+01  0.176092E+01
  11.333550  0.200270E+01  0.174298E+01
  11.360760  0.198567E+01  0.172364E+01
  11.387970  0.197878E+01  0.170718E+01
  11.415180  0.197967E+01  0.169698E+01
  11.442390  0.198498E+01  0.169484E+01
  11.469600  0.199140E+01  0.170059E+01
  11.496810  0.199727E+01  0.171285E+01
  11.524030  0.200235E+01  0.173122E+01
  11.551240  0.200613E+01  0.175666E+01
  11.578450  0.200676E+01  0.179126E+01
  11.605660  0.199834E+01  0.183732E+01
  11.632870  0.197040E+01  0.188904E+01
  11.660080  0.192371E+01  0.193120E+01
  11.687290  0.186961E+01  0.195859E+01
  11.714510  0.181517E+01  0.197428E+01
  11.741720  0.176304E+01  0.198192E+01
  11.768930  0.171396E+01  0.198499E+01
  11.796140  0.166616E+01  0.198620E+01
  11.823350  0.161681E+01  0.198556E+01
  11.850560  0.156430E+01  0.198039E+01
  11.877770  0.151064E+01  0.196761E+01
  11.904990  0.145907E+01  0.194752E+01
  11.932200  0.141054E+01  0.192181E+01
  11.959410  0.136507E+01  0.189047E+01
  11.986620  0.132440E+01  0.185354E+01
  12.013830  0.128974E+01  0.181293E+01
  12.041040  0.126042E+01  0.177017E+01
  12.068250  0.123589E+01  0.172511E+01
  12.095470  0.121710E+01  0.167748E+01
  12.122680  0.120559E+01  0.162862E+01
  12.149890  0.120126E+01  0.158110E+01
  12.177100  0.120239E+01  0.153600E+01
  12.204310  0.120853E+01  0.149337E+01
  12.231520  0.121908E+01  0.145439E+01
  12.258730  0.123237E+01  0.141947E+01
  12.285940  0.124708E+01  0.138773E+01
  12.313160  0.126336E+01  0.135795E+01
  12.340370  0.128238E+01  0.133023E+01
  12.367580  0.130408E+01  0.130664E+01
  12.394790  0.132557E+01  0.128768E+01
  12.422000  0.134551E+01  0.127093E+01
  12.449210  0.136488E+01  0.125486E+01
  12.476420  0.138413E+01  0.123900E+01
  12.503640  0.140453E+01  0.122178E+01
  12.530850  0.142958E+01  0.120403E+01
  12.558060  0.146015E+01  0.118997E+01
  12.585270  0.149326E+01  0.118221E+01
  12.612480  0.152593E+01  0.118022E+01
  12.639690  0.155706E+01  0.118219E+01
  12.666900  0.158712E+01  0.118693E+01
  12.694120  0.161705E+01  0.119470E+01
  12.721330  0.164640E+01  0.120690E+01
  12.748540  0.167327E+01  0.122415E+01
  12.775750  0.169505E+01  0.124555E+01
  12.802960  0.171015E+01  0.126779E+01
  12.830170  0.171973E+01  0.128728E+01
  12.857380  0.172715E+01  0.130171E+01
  12.884600  0.173633E+01  0.131210E+01
  12.911810  0.174882E+01  0.132086E+01
  12.939020  0.176508E+01  0.133011E+01
  12.966230  0.178472E+01  0.134207E+01
  12.993440  0.180600E+01  0.135861E+01
  13.020650  0.182587E+01  0.137968E+01
  13.047860  0.184286E+01  0.140231E+01
  13.075080  0.185907E+01  0.142359E+01
  13.102290  0.187919E+01  0.144334E+01
  13.129500  0.190817E+01  0.146658E+01
  13.156710  0.194522E+01  0.150436E+01
  13.183920  0.197554E+01  0.156402E+01
  13.211130  0.198733E+01  0.163209E+01
  13.238340  0.198824E+01  0.170207E+01
  13.265560  0.197440E+01  0.177756E+01
  13.292770  0.194018E+01  0.184826E+01
  13.319980  0.189329E+01  0.190473E+01
  13.347190  0.184246E+01  0.194719E+01
  13.374400  0.179209E+01  0.197859E+01
  13.401610  0.174464E+01  0.200210E+01
  13.428820  0.170048E+01  0.202144E+01
  13.456030  0.165763E+01  0.203852E+01
  13.483250  0.161449E+01  0.205310E+01
  13.510460  0.157065E+01  0.206365E+01
  13.537670  0.152798E+01  0.206924E+01
  13.564880  0.148807E+01  0.207123E+01
  13.592090  0.145085E+01  0.207117E+01
  13.619300  0.141585E+01  0.206973E+01
  13.646510  0.138271E+01  0.206747E+01
  13.673730  0.135085E+01  0.206455E+01
  13.700940  0.132024E+01  0.206110E+01
  13.728150  0.129034E+01  0.205766E+01
  13.755360  0.126007E+01  0.205416E+01
  13.782570  0.122835E+01  0.204943E+01
  13.809780  0.119578E+01  0.204126E+01
  13.836990  0.116463E+01  0.202917E+01
