#                                                                                
# Lorentzian broadening with gamma= 0.050000  [eV]
# Im(epsilon) shifted by   1.0000   [eV]
# No intraband contributions added
#
# Energy [eV]  ref_ind_xx    extinct_xx
#
   6.925300  0.222903E+01  0.898860E+00
   6.952510  0.224179E+01  0.908409E+00
   6.979720  0.225590E+01  0.920870E+00
   7.006930  0.227129E+01  0.937766E+00
   7.034150  0.228643E+01  0.961293E+00
   7.061360  0.229788E+01  0.992785E+00
   7.088570  0.230027E+01  0.103127E+01
   7.115780  0.228953E+01  0.107029E+01
   7.142990  0.226842E+01  0.110243E+01
   7.170200  0.224300E+01  0.112501E+01
   7.197410  0.221851E+01  0.113954E+01
   7.224630  0.219700E+01  0.114975E+01
   7.251840  0.217781E+01  0.115796E+01
   7.279050  0.216020E+01  0.116513E+01
   7.306260  0.214340E+01  0.117179E+01
   7.333470  0.212669E+01  0.117773E+01
   7.360680  0.211004E+01  0.118238E+01
   7.387890  0.209406E+01  0.118553E+01
   7.415110  0.207930E+01  0.118771E+01
   7.442320  0.206562E+01  0.118968E+01
   7.469530  0.205246E+01  0.119166E+01
   7.496740  0.203958E+01  0.119346E+01
   7.523950  0.202701E+01  0.119494E+01
   7.551160  0.201487E+01  0.119623E+01
   7.578370  0.200305E+01  0.119753E+01
   7.605580  0.199134E+01  0.119889E+01
   7.632800  0.197954E+01  0.120022E+01
   7.660010  0.196758E+01  0.120138E+01
   7.687220  0.195548E+01  0.120221E+01
   7.714430  0.194336E+01  0.120264E+01
   7.741640  0.193135E+01  0.120267E+01
   7.768850  0.191953E+01  0.120245E+01
   7.796060  0.190784E+01  0.120210E+01
   7.823280  0.189622E+01  0.120171E+01
   7.850490  0.188456E+01  0.120133E+01
   7.877700  0.187269E+01  0.120098E+01
   7.904910  0.186050E+01  0.120059E+01
   7.932120  0.184790E+01  0.120009E+01
   7.959330  0.183479E+01  0.119945E+01
   7.986540  0.182104E+01  0.119858E+01
   8.013760  0.180654E+01  0.119731E+01
   8.040970  0.179125E+01  0.119544E+01
   8.068180  0.177520E+01  0.119279E+01
   8.095390  0.175850E+01  0.118925E+01
   8.122600  0.174120E+01  0.118488E+01
   8.149810  0.172319E+01  0.117974E+01
   8.177020  0.170427E+01  0.117397E+01
   8.204240  0.168383E+01  0.116790E+01
   8.231450  0.165999E+01  0.116150E+01
   8.258660  0.163005E+01  0.115184E+01
   8.285870  0.159522E+01  0.113298E+01
   8.313080  0.156158E+01  0.110186E+01
   8.340290  0.153532E+01  0.106026E+01
   8.367500  0.152028E+01  0.101314E+01
   8.394720  0.151570E+01  0.966640E+00
   8.421930  0.151759E+01  0.923110E+00
   8.449140  0.152360E+01  0.881865E+00
   8.476350  0.153303E+01  0.842085E+00
   8.503560  0.154578E+01  0.803357E+00
   8.530770  0.156196E+01  0.765508E+00
   8.557980  0.158193E+01  0.728598E+00
   8.585200  0.160602E+01  0.693239E+00
   8.612410  0.163388E+01  0.660244E+00
   8.639620  0.166482E+01  0.629874E+00
   8.666830  0.169842E+01  0.601944E+00
   8.694040  0.173462E+01  0.576230E+00
   8.721250  0.177359E+01  0.552646E+00
   8.748460  0.181564E+01  0.531258E+00
   8.775670  0.186121E+01  0.512329E+00
   8.802890  0.191090E+01  0.496447E+00
   8.830100  0.196529E+01  0.484800E+00
   8.857310  0.202451E+01  0.479634E+00
   8.884520  0.208641E+01  0.483881E+00
   8.911730  0.214630E+01  0.497527E+00
   8.938940  0.220230E+01  0.516764E+00
   8.966150  0.225601E+01  0.539710E+00
   8.993370  0.230825E+01  0.566552E+00
   9.020580  0.235914E+01  0.597393E+00
   9.047790  0.240900E+01  0.632412E+00
   9.075000  0.245808E+01  0.672495E+00
   9.102210  0.250557E+01  0.718977E+00
   9.129420  0.254993E+01  0.772694E+00
   9.156630  0.258852E+01  0.834829E+00
   9.183850  0.261497E+01  0.903551E+00
   9.211060  0.262749E+01  0.968339E+00
   9.238270  0.263573E+01  0.102345E+01
   9.265480  0.264679E+01  0.107332E+01
   9.292690  0.266143E+01  0.112175E+01
   9.319900  0.268172E+01  0.116960E+01
   9.347110  0.271330E+01  0.122048E+01
   9.374330  0.276283E+01  0.128645E+01
   9.401540  0.282535E+01  0.139446E+01
   9.428750  0.285955E+01  0.156713E+01
   9.455960  0.280610E+01  0.177675E+01
   9.483170  0.265007E+01  0.194000E+01
   9.510380  0.246642E+01  0.199993E+01
   9.537590  0.232372E+01  0.199346E+01
   9.564810  0.222537E+01  0.196744E+01
   9.592020  0.215789E+01  0.194127E+01
   9.619230  0.211110E+01  0.192301E+01
   9.646440  0.207515E+01  0.191815E+01
   9.673650  0.203771E+01  0.192712E+01
   9.700860  0.198764E+01  0.194060E+01
   9.728070  0.192786E+01  0.194235E+01
   9.755290  0.187359E+01  0.193018E+01
   9.782500  0.182984E+01  0.191444E+01
   9.809710  0.179199E+01  0.190013E+01
   9.836920  0.175697E+01  0.188661E+01
   9.864130  0.172438E+01  0.187268E+01
   9.891340  0.169511E+01  0.185826E+01
   9.918550  0.166955E+01  0.184488E+01
   9.945760  0.164635E+01  0.183393E+01
   9.972980  0.162379E+01  0.182543E+01
  10.000190  0.160064E+01  0.181863E+01
  10.027400  0.157637E+01  0.181233E+01
  10.054610  0.155130E+01  0.180569E+01
  10.081820  0.152545E+01  0.179848E+01
  10.109030  0.149895E+01  0.178949E+01
  10.136240  0.147341E+01  0.177853E+01
  10.163460  0.144934E+01  0.176672E+01
  10.190670  0.142626E+01  0.175443E+01
  10.217880  0.140443E+01  0.174137E+01
  10.245090  0.138448E+01  0.172828E+01
  10.272300  0.136586E+01  0.171617E+01
  10.299510  0.134789E+01  0.170511E+01
  10.326720  0.133046E+01  0.169528E+01
  10.353940  0.131315E+01  0.168765E+01
  10.381150  0.129398E+01  0.168322E+01
  10.408360  0.126962E+01  0.168054E+01
  10.435570  0.123968E+01  0.167562E+01
  10.462780  0.120585E+01  0.166697E+01
  10.489990  0.116807E+01  0.165324E+01
  10.517200  0.112847E+01  0.163102E+01
  10.544420  0.109214E+01  0.160048E+01
  10.571630  0.106126E+01  0.156495E+01
  10.598840  0.103615E+01  0.152673E+01
  10.626050  0.101660E+01  0.148863E+01
  10.653260  0.100010E+01  0.145321E+01
  10.680470  0.982720E+00  0.142097E+01
  10.707680  0.959277E+00  0.139023E+01
  10.734900  0.924074E+00  0.135266E+01
  10.762110  0.882032E+00  0.129198E+01
  10.789320  0.856903E+00  0.120200E+01
  10.816530  0.866325E+00  0.110406E+01
  10.843740  0.901294E+00  0.101821E+01
  10.870950  0.949311E+00  0.947856E+00
  10.898160  0.100382E+01  0.890906E+00
  10.925380  0.106181E+01  0.845096E+00
  10.952590  0.112163E+01  0.808769E+00
  10.979800  0.118240E+01  0.780543E+00
  11.007010  0.124375E+01  0.759271E+00
  11.034220  0.130609E+01  0.744098E+00
  11.061430  0.137061E+01  0.735542E+00
  11.088640  0.143715E+01  0.736422E+00
